station,load
KIRANDUL       ,2
BILHAUR        ,2
AUNRIHAR JN    ,41
KASHI          ,25
CHENGANNUR     ,66
GYANPUR ROAD   ,32
NASIK ROAD     ,133
MOTURU         ,1
KAMASAMUDRAM   ,2
GONDA JN       ,96
KARAMBELI      ,5
KURSEONG       ,8
BARPALI        ,14
VEDAYAPALEM    ,6
CHILBILA JN    ,7
GARHMUKTESAR BR,4
NIPANIA        ,2
AONLA          ,22
BIHAR SHARIF   ,7
SIROHI ROAD    ,33
ANUGRAHA N ROAD,35
HOMBAL         ,4
LATHIDAD       ,4
SILLI          ,2
KHARAGPUR JN   ,175
SURAREDDIPALEM ,2
NAHARKATIYA    ,10
TUTI MELUR     ,6
SIRARI         ,2
TUNI           ,60
DALELNAGAR     ,2
TIRUVANNAMALAI ,11
BAHERI         ,2
DHARNAODA      ,1
SAHIBZADA ASNGR,14
KATNI SOUTH    ,12
PASRAHA        ,4
JAJIWAL        ,4
PALAM          ,9
MADAVNAGAR ROAD,2
MAHASAMUND     ,28
PENDEKALLU     ,6
BANGRIPOSI     ,2
DHARMPUR HMCHL ,6
JALINDRI       ,2
MARGHERITA     ,2
FORBESGANJ     ,4
DIGOD          ,3
PATLIPUTRA     ,4
JHULASAN       ,2
KULEM          ,15
BIJAPUR        ,24
KATWA          ,25
PANPOSH        ,6
MURUD          ,2
ACHHNERA JN    ,33
DEVARGUDDA     ,2
CUTTACK        ,140
SRIVILLIPUTTUR ,2
TANKUPPA       ,7
DEVLALI        ,42
BORAWAR        ,2
RUPAUND        ,9
SUKU           ,2
THAKURKUCHI    ,2
DHARUR         ,4
PHALODI JN     ,17
CHHAPRA        ,121
BIRANG KHERA   ,4
CHANOL         ,2
CAVALRY BARRCKS,3
TIVARI         ,7
NASIRABAD      ,19
NEW AMRAVATI   ,5
LADNUN         ,8
NABADWIP DHAM  ,25
NAGERCOIL JN   ,47
KUTRALAM       ,4
TUNG           ,6
RAYANAPADU     ,2
KOELWAR        ,8
UNDI           ,2
TIRUCHCHIRAPALI,85
MALOUT         ,15
KALPI          ,13
KUPGAL         ,4
MOHOPE         ,2
JAMDHA         ,4
PALAKOLLU      ,10
BAHADURPUR     ,3
TIRUVALLUR     ,35
RAMGANJ MANDI  ,47
ATARI          ,2
PEDAKAKANI HALT,8
MOHANUR        ,2
CHITTAURGARH   ,46
ARAKKU         ,2
TILAK BRIDGE   ,30
KOVVUR         ,53
LANJIGARH ROAD ,7
CHINCHVAD      ,16
KESHORAI PATAN ,12
VASAN IYAWA    ,2
SANEH ROAD     ,4
AWATARNAGAR    ,2
DELHI SAFDARJNG,6
WADIARAM       ,4
PURULIA JN     ,49
PEMBARTI       ,4
KONDAPALLI     ,6
DANIYAWAN BZR H,4
KALIPAHARI     ,5
KULITTHURAI    ,16
DHILWAN        ,1
SOMESAR        ,6
KALYAN JN      ,254
DIGARU         ,4
NAGARI         ,4
SASTHANKOTTA   ,12
PADUBIDRI      ,4
UNHEL          ,5
SAWANTWADI ROAD,18
ANDHERI        ,26
NATHWANA       ,4
SABAUR         ,8
PEDDAPALLI     ,17
JANDRAPETA     ,2
SHRI GANGANAGAR,17
GHAT NANDUR    ,4
DODBALLAPUR    ,11
PENUMARRU      ,4
TAMKUHI ROAD   ,4
DHODRA MOHAR   ,2
KULITTURAI WEST,3
PATAUDI ROAD   ,21
SATARA         ,40
NATHNAGAR      ,8
NUJELLA        ,2
BARABANKI JN   ,78
GUPTIPARA      ,2
GARPOS         ,12
DODBELE        ,3
SUDSAR         ,6
KAMPTEE        ,16
ICHAULI        ,3
PAKALA JN      ,33
AHALYAPUR      ,2
MUZAFFARNAGAR  ,44
BADODAR        ,2
BHOGPUR SIRWAL ,2
SALKAROAD      ,8
ETAWAH         ,61
RAMNA          ,2
TEKKABIGHA     ,3
BHOPAL  JN     ,232
MALIYA MIYANA  ,14
SALPURA        ,4
SITARAMPUR     ,19
KHED           ,15
AULENDA        ,2
KHALLIKOT      ,14
ALIGANJ        ,1
TAPRI          ,15
MARWAR CHAPRI  ,2
SRINAGAR       ,4
SONIPAT        ,37
HARWADA        ,2
VISHNUPURAM    ,14
GAIPURA        ,1
PIARDOBA       ,4
ZAMANIA        ,24
SIWAITH        ,4
YELHANKA JN    ,43
LAKHIMPUR      ,3
VANI ROAD      ,2
JONHA          ,2
DHOLI          ,16
GULDHAR        ,1
SANVATSAR      ,5
MULACALACHERUVU,6
GANESHGANJ     ,8
NEPANAGAR      ,17
GAURIPUR       ,4
BHUTESHWAR     ,1
COLONELGANJ    ,14
UNA HIMACHAL   ,8
RISIA          ,2
PALDHI         ,4
BHUBANESWAR    ,210
DHAMARA GHAT   ,4
KUSUGALI       ,2
BAGHNAPARA     ,1
MALIYA HATINA  ,10
GAYABARI       ,1
MADANAPALLE RD ,10
MAHAJAN        ,14
NAVAPUR        ,13
RAMANAGARAM    ,22
BIKRAMPUR      ,2
MUZAFFARPUR JN ,100
BELTHARA ROAD  ,21
SAVARDA        ,6
SULTANGANJ     ,44
BIKANER JN     ,54
CHAURAKHERI    ,1
SANJAN         ,9
BHALUKA ROAD F ,7
MAUR           ,12
LUNSERIYA      ,2
FARIDKOT       ,14
SONDAD         ,4
LASALGAON      ,21
NELLORE SOUTH  ,2
KARAVADI       ,2
CHENGALPATTU   ,72
THEKERAGURI    ,2
DEVAKOTTAI ROAD,14
SAIDAPUR       ,14
BAGAHAI ROAD   ,6
BANSTHALI NIWAI,25
PHAPHAMAU JN   ,23
KATHARA ROAD   ,3
JAISALMER      ,15
MASIT          ,2
MAHBUBNAGAR    ,48
KALYANPUR ROAD ,4
TENGANMADA     ,8
HAMARAPUR      ,4
SAMDHARI JN    ,16
TUGGALI        ,4
TETTU          ,2
KHATGAON       ,5
BANKHEDI       ,6
GUBBI          ,3
URGA           ,1
